area,name,abbrev,year,alldeaths_inpatient_age75,estimated_potential,eligible,donors,organs,potential_pct,eligible_per_100potential,donors_per_100potential,organs_per_100potential,tx_per_100potential,organ_potential,organ_share,conversion_rate,collabrate,alldonors,allorgans,alltx,dcdorgans,dbdorgans,dbddonors,dcddonors,dbddonor_pct,dcddonor_pct,dbdorgan_pct,dcdorgan_pct,dbdtx,dcdtx,dbdtx_pct,dcdtx_pct,seq
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2009,9343,580,112,122,381,6,19,21,66,52,1606,24,,,122,381,122,25,356,112,10,92,8,93,7,112,10,92,8,11
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2010,9525,574,144,138,470,6,25,24,82,69,1578,30,,,138,470,138,28,442,125,13,91,9,94,6,125,13,91,9,12
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2011,9422,555,149,110,392,6,27,20,71,60,1532,26,67,69,110,392,110,5,387,108,2,98,2,99,1,108,2,98,2,13
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2012,9655,600,163,110,365,6,27,18,61,53,1652,22,59,62,110,365,110,13,352,104,6,95,5,96,4,104,6,95,5,14
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2013,9647,539,147,104,354,6,27,19,66,56,1495,24,63,65,104,354,104,14,340,99,5,95,5,96,4,99,5,95,5,15
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2014,9618,526,171,123,394,5,33,23,75,64,1455,27,65,67,123,394,123,10,384,118,5,96,4,97,3,118,5,96,4,16
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2015,9687,549,169,128,406,6,31,23,74,63,1525,27,67,70,128,406,128,25,381,118,10,92,8,94,6,118,10,92,8,17
 ALOB-OP1 Alabama Organ Center,Alabama Organ Center,ALOB,2016,12386,803,191,153,505,6,24,19,63,53,2199,23,71,73,153,505,153,26,479,141,12,92,8,95,5,141,12,92,8,18
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,1999,4943,273,,36,118,6,,13,43,36,772,15,,,36,118,36,0,118,36,0,100,0,100,0,36,0,100,0,19
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2000,5048,281,,33,140,6,,12,50,46,790,18,,,33,140,33,0,140,33,0,100,0,100,0,33,0,100,0,20
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2001,5014,266,,33,118,5,,12,44,38,749,16,,,33,118,33,0,118,33,0,100,0,100,0,33,0,100,0,21
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2002,5220,284,,54,211,5,,19,74,63,793,27,,,54,211,54,0,211,54,0,100,0,100,0,54,0,100,0,22
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2003,4976,256,,44,170,5,,17,67,59,714,24,,,44,170,44,0,170,44,0,100,0,100,0,44,0,100,0,23
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2004,4860,284,,64,256,6,,23,90,75,789,32,,,64,256,64,3,253,63,1,98,2,99,1,63,1,98,2,24
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2005,4624,251,,70,271,5,,28,108,96,691,39,,,70,271,70,0,271,70,0,100,0,100,0,70,0,100,0,25
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2006,4567,255,,77,305,6,,30,120,104,706,43,,,77,305,77,11,294,74,3,96,4,96,4,74,3,96,4,26
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2007,4317,268,,78,273,6,,29,102,86,740,37,,,78,273,78,4,269,76,2,97,3,99,1,76,2,97,3,27
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2008,4572,272,87,57,230,6,32,21,85,74,754,30,,,57,230,57,5,225,56,1,98,2,98,2,56,1,98,2,28
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2009,4482,285,94,69,261,6,33,24,92,76,790,33,,,69,261,69,2,259,68,1,99,1,99,1,68,1,99,1,29
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2010,4250,246,76,58,227,6,31,24,92,80,685,33,,,58,227,58,6,221,56,2,97,3,97,3,56,2,97,3,30
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2011,4294,268,85,67,237,6,32,25,89,76,736,32,72,74,67,237,67,13,224,62,5,93,7,95,5,62,5,93,7,31
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2012,4372,262,79,67,241,6,30,26,92,78,726,33,76,78,67,241,67,14,227,62,5,93,7,94,6,62,5,93,7,32
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2013,4457,258,83,63,234,6,32,24,91,79,711,33,69,71,63,234,63,13,221,58,5,92,8,94,6,58,5,92,8,33
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2014,4510,240,73,64,248,5,30,27,103,84,667,37,81,82,64,248,64,10,238,59,5,92,8,96,4,59,5,92,8,34
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2015,4438,274,74,62,223,6,27,23,81,66,757,29,73,76,62,223,62,15,208,56,6,90,10,93,7,56,6,90,10,35
 AROR-OP1 Arkansas Reg. Organ Recovery Agency,Arkansas Reg. Organ Recovery Agency,AROR,2016,4496,286,72,63,245,6,25,22,86,74,795,31,72,76,63,245,63,25,220,53,10,84,16,90,10,53,10,84,16,36
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,1999,7669,444,,76,246,6,,17,55,51,1225,20,,,76,246,76,0,246,76,0,100,0,100,0,76,0,100,0,37
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2000,7264,435,,74,272,6,,17,63,58,1200,23,,,74,272,74,0,272,74,0,100,0,100,0,74,0,100,0,38
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2001,7033,408,,70,238,6,,17,58,55,1123,21,,,70,238,70,0,238,70,0,100,0,100,0,70,0,100,0,39
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2002,7185,405,,82,302,6,,20,75,71,1109,27,,,82,302,82,0,302,82,0,100,0,100,0,82,0,100,0,40
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2003,7028,374,,69,257,5,,18,69,66,1020,25,,,69,257,69,0,257,69,0,100,0,100,0,69,0,100,0,41
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2004,6972,399,,76,276,6,,19,69,67,1086,25,,,76,276,76,3,273,75,1,99,1,99,1,75,1,99,1,42
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2005,7189,440,,124,434,6,,28,99,88,1204,36,,,124,434,124,6,428,122,2,98,2,99,1,122,2,98,2,43
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2006,7048,428,,113,436,6,,26,102,94,1160,38,,,113,436,113,20,416,106,7,94,6,95,5,106,7,94,6,44
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2007,6776,461,,143,565,7,,31,122,111,1253,45,,,143,565,143,17,548,137,6,96,4,97,3,137,6,96,4,45
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2008,6930,427,174,124,467,6,41,29,109,101,1163,40,,,124,467,124,25,442,114,10,92,8,95,5,114,10,92,8,46
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2009,6832,408,139,114,411,6,34,28,101,90,1113,37,,,114,411,114,46,365,97,17,85,15,89,11,97,17,85,15,47
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2010,6528,424,159,119,453,6,37,28,107,99,1158,39,,,119,453,119,35,418,105,14,88,12,92,8,105,14,88,12,48
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2011,6383,432,179,168,596,7,41,39,138,130,1175,51,77,80,168,596,168,58,538,145,23,86,14,90,10,145,23,86,14,49
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2012,6513,424,162,143,511,7,38,34,120,103,1151,44,69,74,143,511,143,58,453,121,22,85,15,89,11,121,22,85,15,50
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2013,6661,437,189,180,631,7,43,41,144,129,1192,53,68,75,180,631,180,113,518,135,45,75,25,82,18,135,45,75,25,51
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2014,6977,447,154,158,564,6,34,35,126,110,1219,46,70,77,158,564,158,117,447,115,43,73,27,79,21,115,43,73,27,52
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2015,7084,487,164,166,608,7,34,34,125,106,1328,46,72,78,166,608,166,101,507,127,39,77,23,83,17,127,39,77,23,53
 AZOB-OP1 Donor Network of Arizona,Donor Network of Arizona,AZOB,2016,7670,533,226,224,809,7,42,42,152,135,1457,56,70,77,224,809,224,143,666,175,49,78,22,82,18,175,49,78,22,54
 CADN-OP1 Donor Network West,Donor Network West,CADN,1999,15064,905,,209,773,6,,23,85,79,2530,31,,,209,773,209,0,773,209,0,100,0,100,0,209,0,100,0,55
 CADN-OP1 Donor Network West,Donor Network West,CADN,2000,15129,862,,190,709,6,,22,82,77,2415,29,,,190,709,190,3,706,189,1,99,1,100,0,189,1,99,1,56
 CADN-OP1 Donor Network West,Donor Network West,CADN,2001,15359,845,,213,825,6,,25,98,90,2367,35,,,213,825,213,2,823,212,1,100,0,100,0,212,1,100,0,57
 CADN-OP1 Donor Network West,Donor Network West,CADN,2002,15402,889,,227,989,6,,26,111,103,2477,40,,,227,989,227,0,989,227,0,100,0,100,0,227,0,100,0,58
 CADN-OP1 Donor Network West,Donor Network West,CADN,2003,15224,887,,248,1037,6,,28,117,109,2459,42,,,248,1037,248,8,1029,245,3,99,1,99,1,245,3,99,1,59
 CADN-OP1 Donor Network West,Donor Network West,CADN,2004,14669,874,,254,1058,6,,29,121,111,2415,44,,,254,1058,254,2,1056,253,1,100,0,100,0,253,1,100,0,60
 CADN-OP1 Donor Network West,Donor Network West,CADN,2005,14602,907,,282,1172,6,,31,129,116,2507,47,,,282,1172,282,24,1148,275,7,98,2,98,2,275,7,98,2,61
 CADN-OP1 Donor Network West,Donor Network West,CADN,2006,14484,903,,280,1137,6,,31,126,113,2484,46,,,280,1137,280,45,1092,266,14,95,5,96,4,266,14,95,5,62
 CADN-OP1 Donor Network West,Donor Network West,CADN,2007,14695,900,,279,1123,6,,31,125,110,2476,45,,,279,1123,279,46,1077,262,17,94,6,96,4,262,17,94,6,63
 CADN-OP1 Donor Network West,Donor Network West,CADN,2008,14409,874,372,266,1044,6,43,30,119,109,2401,43,,,266,1044,266,22,1022,257,9,97,3,98,2,257,9,97,3,64
 CADN-OP1 Donor Network West,Donor Network West,CADN,2009,14317,878,399,266,991,6,45,30,113,100,2417,41,,,266,991,266,19,972,259,7,97,3,98,2,259,7,97,3,65
 CADN-OP1 Donor Network West,Donor Network West,CADN,2010,13684,887,374,274,1036,6,42,31,117,107,2435,43,,,274,1036,274,48,988,254,20,93,7,95,5,254,20,93,7,66
 CADN-OP1 Donor Network West,Donor Network West,CADN,2011,13766,924,380,299,1163,7,41,32,126,116,2526,46,68,71,299,1163,299,75,1088,271,28,91,9,94,6,271,28,91,9,67
 CADN-OP1 Donor Network West,Donor Network West,CADN,2012,13589,863,370,305,1149,6,43,35,133,122,2375,48,74,76,305,1149,305,56,1093,284,21,93,7,95,5,284,21,93,7,68
 CADN-OP1 Donor Network West,Donor Network West,CADN,2013,13643,843,352,281,1018,6,42,33,121,109,2320,44,70,73,281,1018,281,66,952,257,24,91,9,94,6,257,24,91,9,69
 CADN-OP1 Donor Network West,Donor Network West,CADN,2014,14060,862,374,305,1135,6,43,35,132,117,2371,48,70,73,305,1135,305,45,1090,286,19,94,6,96,4,286,19,94,6,70
 CADN-OP1 Donor Network West,Donor Network West,CADN,2015,14318,898,336,300,1066,6,37,33,119,104,2469,43,71,76,300,1066,300,82,984,268,32,89,11,92,8,268,32,89,11,71
 CADN-OP1 Donor Network West,Donor Network West,CADN,2016,14918,947,371,291,1093,6,39,31,115,101,2611,42,65,69,291,1093,291,102,991,253,38,87,13,91,9,253,38,87,13,72
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,1999,3467,203,,46,172,6,,23,85,69,573,30,,,46,172,46,0,172,46,0,100,0,100,0,46,0,100,0,73
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2000,3445,211,,43,161,6,,20,76,70,593,27,,,43,161,43,6,155,41,2,95,5,96,4,41,2,95,5,74
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2001,3542,193,,22,81,5,,11,42,40,540,15,,,22,81,22,0,81,22,0,100,0,100,0,22,0,100,0,75
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2002,3645,211,,44,147,6,,21,70,66,591,25,,,44,147,44,5,142,42,2,95,5,97,3,42,2,95,5,76
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2003,3588,218,,52,169,6,,24,78,72,601,28,,,52,169,52,11,158,47,5,90,10,93,7,47,5,90,10,77
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2004,3525,220,,46,162,6,,21,74,66,610,27,,,46,162,46,17,145,39,7,85,15,90,10,39,7,85,15,78
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2005,3474,208,,61,220,6,,29,106,97,578,38,,,61,220,61,2,218,60,1,98,2,99,1,60,1,98,2,79
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2006,3482,225,,81,250,6,,36,111,101,615,41,,,81,250,81,13,237,74,7,91,9,95,5,74,7,91,9,80
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2007,3464,209,,56,178,6,,27,85,76,574,31,,,56,178,56,4,174,54,2,96,4,98,2,54,2,96,4,81
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2008,3372,218,69,58,184,6,32,27,84,77,599,31,,,58,184,58,14,170,51,7,88,12,92,8,51,7,88,12,82
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2009,3338,202,63,49,169,6,31,24,84,75,552,31,,,49,169,49,9,160,45,4,92,8,95,5,45,4,92,8,83
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2010,3430,231,74,54,166,7,32,23,72,68,635,26,,,54,166,54,14,152,47,7,87,13,92,8,47,7,87,13,84
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2011,3579,224,88,67,258,6,39,30,115,108,611,42,72,73,67,258,67,16,242,60,7,90,10,94,6,60,7,90,10,85
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2012,3353,221,86,71,257,7,39,32,116,106,608,42,74,76,71,257,71,16,241,63,8,89,11,94,6,63,8,89,11,86
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2013,3356,225,77,71,264,7,34,32,117,111,620,43,87,88,71,264,71,11,253,66,5,93,7,96,4,66,5,93,7,87
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2014,3335,235,63,68,237,7,27,29,101,91,645,37,87,89,68,237,68,25,212,56,12,82,18,89,11,56,12,82,18,88
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2015,3680,244,94,89,313,7,39,37,128,113,673,47,72,77,89,313,89,39,274,71,18,80,20,88,12,71,18,80,20,89
 CAGS-OP1 Sierra Donor Services,Sierra Donor Services,CAGS,2016,3820,239,95,78,277,6,40,33,116,102,657,42,66,71,78,277,78,36,241,64,14,82,18,87,13,64,14,82,18,90
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,1999,23805,1333,,275,970,6,,21,73,63,3742,26,,,275,970,275,0,961,273,0,99,0,99,0,273,0,99,0,91
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2000,23680,1348,,287,988,6,,21,73,68,3751,26,,,287,988,287,5,983,285,2,99,1,99,1,285,2,99,1,92
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2001,23888,1291,,333,1133,5,,26,88,78,3598,31,,,333,1133,333,12,1121,329,4,99,1,99,1,329,4,99,1,93
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2002,23362,1296,,314,1149,6,,24,89,81,3601,32,,,314,1149,314,21,1128,307,7,98,2,98,2,307,7,98,2,94
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2003,23757,1327,,328,1174,6,,25,88,83,3673,32,,,328,1174,328,7,1167,325,3,99,1,99,1,325,3,99,1,95
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2004,22536,1325,,346,1226,6,,26,93,84,3665,33,,,346,1226,346,16,1210,339,7,98,2,99,1,339,7,98,2,96
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2005,22787,1341,,373,1348,6,,28,101,91,3690,37,,,373,1348,373,33,1315,359,14,96,4,98,2,359,14,96,4,97
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2006,22685,1389,,432,1520,6,,31,109,96,3807,40,,,432,1520,432,38,1482,416,16,96,4,98,3,416,16,96,4,98
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2007,22073,1350,,397,1390,6,,29,103,91,3702,38,,,397,1390,397,66,1324,372,25,94,6,95,5,372,25,94,6,99
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2008,21795,1288,627,400,1390,6,49,31,108,96,3537,39,,,400,1390,400,44,1346,381,19,95,5,97,3,381,19,95,5,100
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2009,21763,1317,548,382,1366,6,42,29,104,90,3618,38,,,382,1366,382,65,1301,358,24,94,6,95,5,358,24,94,6,101
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2010,20156,1269,486,349,1237,6,38,28,97,87,3479,36,,,349,1237,349,60,1177,324,25,93,7,95,5,324,25,93,7,102
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2011,20563,1276,536,417,1432,6,42,33,112,99,3501,41,71,73,417,1432,417,77,1355,384,33,92,8,95,5,384,33,92,8,103
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2012,20412,1283,503,391,1407,6,39,30,110,97,3526,40,70,72,391,1407,391,87,1320,353,38,90,10,94,6,353,38,90,10,104
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2013,20836,1327,542,422,1616,6,41,32,122,103,3629,45,69,72,422,1616,422,82,1534,384,38,91,9,95,5,384,38,91,9,105
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2014,21032,1302,528,418,1522,6,41,32,117,98,3567,43,67,71,418,1522,418,143,1379,358,60,86,14,91,9,358,60,86,14,106
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2015,22134,1375,554,460,1662,6,40,33,121,98,3784,44,70,73,460,1662,460,144,1518,400,60,87,13,91,9,400,60,87,13,107
 CAOP-OP1 OneLegacy,OneLegacy,CAOP,2016,22876,1452,558,482,1814,6,38,33,125,101,3991,45,75,77,482,1814,482,141,1673,426,56,88,12,92,8,426,56,88,12,108
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,1999,3383,212,,70,242,6,,33,114,97,591,41,,,70,242,70,0,235,68,0,97,0,97,0,68,0,97,0,109
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2000,3553,214,,58,223,6,,27,104,92,593,38,,,58,223,58,0,223,58,0,100,0,100,0,58,0,100,0,110
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2001,3499,184,,64,224,5,,35,122,101,515,43,,,64,224,64,0,224,64,0,100,0,100,0,64,0,100,0,111
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2002,3250,192,,63,211,6,,33,110,98,534,40,,,63,211,63,0,211,63,0,100,0,100,0,63,0,100,0,112
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2003,3326,203,,68,217,6,,33,107,96,560,39,,,68,217,68,0,217,68,0,100,0,100,0,68,0,100,0,113
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2004,3306,217,,86,304,7,,40,140,133,595,51,,,86,304,86,7,297,83,3,97,3,98,2,83,3,97,3,114
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2005,3402,227,,90,298,7,,40,131,117,619,48,,,90,298,90,23,275,81,9,90,10,92,8,81,9,90,10,115
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2006,3213,210,,101,353,7,,48,168,147,575,61,,,101,353,101,35,318,88,13,87,13,90,10,88,13,87,13,116
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2007,3215,212,,95,327,7,,45,154,133,580,56,,,95,327,95,38,289,81,14,85,15,88,12,81,14,85,15,117
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2008,3188,223,106,99,343,7,48,44,154,137,608,56,,,99,343,99,40,303,83,16,84,16,88,12,83,16,84,16,118
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2009,3269,234,103,101,341,7,44,43,146,123,638,53,,,101,341,101,34,307,86,15,85,15,90,10,86,15,85,15,119
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2010,3019,222,110,108,381,7,50,49,172,155,605,63,,,108,381,108,31,350,94,14,87,13,92,8,94,14,87,13,120
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2011,3110,230,90,86,291,7,39,37,127,111,625,47,70,76,86,291,86,37,254,70,16,81,19,87,13,70,16,81,19,121
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2012,3062,220,82,94,302,7,37,43,137,120,603,50,73,81,94,302,94,47,255,71,23,76,24,84,16,71,23,76,24,122
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2013,3251,254,90,105,371,8,35,41,146,129,694,53,78,85,105,371,105,39,332,88,17,84,16,89,11,88,17,84,16,123
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2014,3421,276,74,103,349,8,27,37,127,111,753,46,81,88,103,349,103,75,274,72,31,70,30,79,21,72,31,70,30,124
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2015,3585,225,75,104,390,6,33,46,174,146,619,63,87,91,104,390,104,36,354,88,16,85,15,91,9,88,16,85,15,125
 CASD-IO1 Lifesharing - A Donate Life Org.,Lifesharing - A Donate Life Org.,CASD,2016,3596,258,85,118,431,7,33,46,167,141,707,61,82,89,118,431,118,60,371,96,22,81,19,86,14,96,22,81,19,126
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,1999,5009,312,,87,312,6,,28,100,88,864,36,,,87,312,87,0,312,87,0,100,0,100,0,87,0,100,0,127
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2000,5313,328,,86,318,6,,26,97,84,908,35,,,86,318,86,0,318,86,0,100,0,100,0,86,0,100,0,128
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2001,5338,298,,72,279,6,,24,94,83,825,34,,,72,279,72,3,276,71,1,99,1,99,1,71,1,99,1,129
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2002,5223,345,,84,327,7,,24,95,87,947,35,,,84,327,84,0,327,84,0,100,0,100,0,84,0,100,0,130
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2003,5242,317,,82,301,6,,26,95,89,870,35,,,82,301,82,3,298,81,1,99,1,99,1,81,1,99,1,131
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2004,4764,344,,100,374,7,,29,109,90,938,40,,,100,374,100,4,370,98,2,98,2,99,1,98,2,98,2,132
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2005,4827,338,,125,462,7,,37,137,116,918,50,,,125,462,125,59,403,105,20,84,16,87,13,105,20,84,16,133
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2006,4893,359,,115,398,7,,32,111,96,981,41,,,115,398,115,21,377,107,8,93,7,95,5,107,8,93,7,134
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2007,4774,348,,94,369,7,,27,106,90,947,39,,,94,369,94,25,344,84,10,89,11,93,7,84,10,89,11,135
